Date,Open,High,Low,Close,Volume
2021-01-20,240.08,248.54,232.31,245.62,762904
2021-01-21,247.86,253.21,244.56,246.11,927462
2021-01-22,244.94,249.8,242.9,243.1,534902
2021-01-25,244.94,268.86,243.29,267.98,1653398
2021-01-26,265.45,291.6,265.45,291.6,2757026
2021-01-27,299.38,335.34,299.38,306.96,6038378
2021-01-28,302.49,365.96,290.73,354.78,7055072
2021-01-29,344.09,347.98,289.36,296.65,3032067
2021-02-01,296.95,307.15,283.14,297.24,1037712
2021-02-02,296.95,297.34,274.49,275.37,1418921
2021-02-03,276.05,287.32,275.47,279.94,709914
2021-02-04,280.03,290.43,280.03,282.85,414957
2021-02-05,284.99,289.56,280.13,285.19,446878
2021-02-08,288.68,289.46,278.28,278.28,498570
2021-02-09,278.96,280.13,260.89,262.44,1158239
2021-02-10,261.37,267.79,257,261.95,674124
2021-02-11,260.98,263.8,260.5,262.93,360951
2021-02-12,261.57,262.15,253.01,255.64,377531
2021-02-15,252.72,263.02,251.07,262.44,278728
2021-02-16,263.41,265.55,259.23,262.54,336148
2021-02-17,264.48,264.87,260.59,263.7,302729
2021-02-18,263.7,275.56,261.66,267.3,513320
2021-02-19,267.3,271.09,257.29,257.97,441491
2021-02-22,258.94,260.69,250.78,250.87,480824
2021-02-23,251.75,253.79,243.1,250.48,572209
2021-02-24,250.97,254.96,248.83,250.97,350882
2021-02-25,247.86,248.83,242.13,244.56,789772
2021-02-26,242.61,242.9,227.64,229.98,1520863
2021-03-01,230.75,234.25,218.89,233.57,1120473
2021-03-02,234.16,239.02,229.39,234.54,693560
2021-03-03,235.03,238.43,220.64,221.91,860742
2021-03-04,221.91,230.85,219.67,228.42,547213
2021-03-05,226.96,231.14,222.39,225.5,471655
2021-03-08,228.32,230.85,225.5,225.5,419292
2021-03-09,225.02,227.16,216.76,216.76,1050229
2021-03-10,216.76,220.35,204.31,204.31,1300397
2021-03-11,204.61,217.34,200.82,214.81,1234333
2021-03-12,216.76,228.52,214.13,220.16,871173
2021-03-15,224.53,228.03,219.19,223.46,538965
2021-03-16,226.48,229.49,220.16,223.07,430694
2021-03-17,223.56,225.5,216.85,224.53,551053
2021-03-18,224.53,225.21,214.52,214.52,652643
2021-03-19,214.52,220.64,211.8,216.95,988742
2021-03-22,214.81,214.81,210.73,210.92,551878
2021-03-23,211.9,214.81,205.48,214.52,606212
2021-03-24,213.26,216.17,209.08,211.02,494593
2021-03-25,213.74,215.69,202.27,202.27,761791
2021-03-26,204.12,210.83,203.63,206.06,449703
2021-03-29,211.9,236.68,209.95,232.99,2145094
2021-03-30,243,244.56,210.73,211.8,1700597
2021-03-31,194.21,198,176.42,185.17,3630556
2021-04-01,185.46,192.24,179.88,189.13,1086043
2021-04-06,193.41,195.37,188.59,191.56,756141
2021-04-07,192.67,193.27,185.65,186.39,537442
2021-04-08,186.41,186.41,177,177.88,1210163
2021-04-09,178.38,186.62,176.52,179.22,1091980
2021-04-12,180.5,182.83,178.25,181.28,402557
2021-04-13,181.96,185.17,180.77,181.28,372278
2021-04-14,183.22,184.97,179.04,180.56,563217
2021-04-15,180.79,183.51,179.84,182.17,334395
2021-04-16,184.68,187.11,170.1,171.81,1752522
2021-04-19,173.93,179.92,172.14,172.53,704845
2021-04-20,173.5,176.13,167.4,168.16,587783
2021-04-21,168.16,174.92,162.62,167.77,756434
2021-04-22,170.78,171.75,167.48,168.64,310965
2021-04-23,172.02,173.99,162.81,166.35,729035
2021-04-26,168.62,169.03,160.48,164.25,709625
2021-04-27,161.35,168.49,161.35,163.59,632202
2021-04-28,165.24,169.81,163.88,167.67,685466
2021-04-29,170.1,172.04,165.82,170.33,539628
2021-04-30,170.84,174.71,169.13,169.24,493973
2021-05-04,170.31,170.88,163,164.19,608849
2021-05-05,163.3,163.7,151.92,156.98,794426
2021-05-06,156.01,156.76,150.29,152.14,796049
2021-05-07,152.6,156.94,151.77,156.94,462867
2021-05-10,158.44,160.77,152.22,152.27,481908
2021-05-11,152.57,152.68,146.85,149.94,793509
2021-05-12,150.91,166,147.53,156.49,991403
2021-05-13,157.66,159.52,151.38,153.5,621598
2021-05-14,155.01,162.09,150.76,160.26,632583
2021-05-17,162.32,173.02,160.87,166.91,954125
2021-05-18,169.61,171.71,162.56,165.24,962808
2021-05-19,164.27,165.53,161.35,164.33,595554
2021-05-20,164.48,171.38,164.46,170.59,701280
2021-05-21,170.59,171.42,166.66,168.16,678435
2021-05-24,167.18,167.18,163.39,163.51,476348
2021-05-25,164.48,168.8,157.56,160.28,660427
2021-05-26,160.38,163.47,157.08,157.08,403678
2021-05-27,160.96,170.59,160.87,170.59,1144385
2021-05-28,172.72,177.84,169.13,173.58,616001
2021-05-31,175,175,168.28,168.74,525989
2021-06-01,156.12,158,152.6,153.38,1833059
2021-06-02,154,161.78,152.8,161.58,1247488
2021-06-04,164.82,171.2,161.82,171.2,516368
2021-06-07,170.66,173.68,167.12,169.76,454673
2021-06-08,169.28,172.2,168,171,418030
2021-06-09,173,178.8,170.8,176.5,879838
2021-06-10,177.1,178.26,172.58,174,284215
2021-06-11,174,186.5,172.82,185.8,674704
2021-06-14,186.2,187.9,182.66,186.78,406463
2021-06-15,191.5,204.7,190.9,198.98,1572918
2021-06-16,207,211.65,186,186.14,1529527
2021-06-17,185,186.4,178.22,181,843200
2021-06-18,182,183.86,179,183.86,889324
2021-06-21,183.86,184.62,179.42,183.38,256814
2021-06-22,182.98,185.96,177.12,177.78,356451
2021-06-23,177.1,178.72,173.04,178,575110
2021-06-24,178,182.4,176.54,180.04,394299
2021-06-25,180,184.1,179,179.72,511215
2021-06-28,179.62,187.6,178.06,185.5,504103
2021-06-29,185,193.24,185,188.36,667808
2021-06-30,187.38,190,182.6,185.02,506269
2021-07-01,185.1,190.96,185.1,188.76,365127
2021-07-02,189.68,192.8,188.8,190.2,264189
2021-07-05,192.62,192.9,189.34,191.9,146929
2021-07-06,191.9,192.5,187.32,187.32,437746
2021-07-07,189.68,193.5,186.86,193.4,407522
2021-07-08,192,193.9,186.82,187.48,319783
2021-07-09,189.14,189.88,187.1,188,220831
2021-07-12,190.2,202,190.1,201.85,1032701
2021-07-13,202.5,206.15,201.3,203.45,417145
2021-07-14,203,203.2,195.5,195.94,329109
2021-07-15,195.98,197.66,193.12,194.92,400152
2021-07-16,194.94,197.96,193.5,194.14,279128
2021-07-19,193.6,194,184.64,186.3,508610
2021-07-20,186.86,188.8,185.14,187.6,399604
2021-07-21,188,194.24,180.4,184.48,415891
2021-07-22,187.3,191,185.24,186.04,254135
2021-07-23,187.5,189.08,185.86,186.28,219461
2021-07-26,188.9,188.9,182.34,184,338742
2021-07-27,184.42,184.78,181.22,183.22,317100
2021-07-28,183.22,184.06,176.8,183.78,669129
2021-07-29,186,189.3,182.86,184,540016
2021-07-30,182.66,184.8,178.64,184.74,307103
2021-08-02,183.48,183.48,174.6,175,828778
2021-08-03,177,177.38,174.1,175.52,411366
2021-08-04,175.52,178,172.66,175.1,244126
2021-08-05,175.88,179.78,174.74,178.24,290573
2021-08-06,178.3,178.34,173.5,174.12,181795
2021-08-09,175,175.24,170.66,172,230117
2021-08-10,172.6,172.8,166.16,166.16,527025
2021-08-11,166.2,168.56,164.08,167.36,226485
2021-08-12,167,168.08,164.74,166.86,175533
2021-08-13,167.6,172.88,166.48,168.9,197493
2021-08-16,168.9,170.5,165,165,279203
2021-08-17,165.5,171.54,164.5,171.02,396754
2021-08-18,170.14,170.4,166.5,166.6,214894
2021-08-19,167.08,168.68,164.58,168.3,192913
2021-08-20,168.28,168.3,164.38,165.74,412701
2021-08-23,166.16,167.78,164.2,165.22,191400
2021-08-24,166.22,166.88,165.02,165.78,178932
2021-08-25,165.72,166.4,164.14,165.58,229919
2021-08-26,164.98,170.9,163.2,168.04,460051
2021-08-27,168.22,168.48,165.5,167.78,205621
2021-08-30,167.88,169.88,164.4,167.62,440313
2021-08-31,167.78,172.62,167.28,169.32,718032
2021-09-01,171,173.9,169.4,170.36,438621
2021-09-02,180,192.96,179.6,189.98,1619048
2021-09-03,189.98,192.06,185,187.02,426207
2021-09-06,187.34,189.2,185.02,188,298438
2021-09-07,186.9,187.58,181.8,185,424729
2021-09-08,185,185,178.3,178.5,466063
2021-09-09,177.9,180.68,176.6,180.68,325655
2021-09-10,180.7,183.86,179.18,181.42,307768
2021-09-13,182.26,188.7,181.5,187.94,489358
2021-09-14,189,189.76,184.24,188.78,427519
2021-09-15,187.4,191.6,186.64,190.86,350844
2021-09-16,191,196.5,191,196.36,597918
2021-09-17,197,199.42,192.28,195,1079275
2021-09-20,192.12,192.26,184,184.42,384305
2021-09-21,184.2,188,183,184.8,367099
2021-09-22,186.2,192.68,185.8,190.1,443804
2021-09-23,191,196.5,190.42,193,256997
2021-09-24,192.74,192.8,184.02,184.02,363197
2021-09-27,185.4,186.14,177.2,181.18,295818
2021-09-28,180.3,185,179,183.82,230900
2021-09-29,184,186.9,183,184.1,137603
2021-09-30,186.1,191.8,184.48,191.8,364149
2021-10-01,190.5,195.4,186.52,189.54,433807
2021-10-04,188.12,188.12,182.5,184.1,423246
2021-10-05,184,194,182.5,194,516587
2021-10-06,192.7,193.78,188,193.14,375756
2021-10-07,190,197.3,189.68,194.1,494755
2021-10-08,193.88,196.7,192.66,194.86,253153
2021-10-11,194.76,197.9,192.8,195.2,272269
2021-10-12,195.16,204.8,195.16,203.9,618027
2021-10-13,203.05,209.4,200.8,208.85,402533
2021-10-14,208.8,212,199.3,200,577646
2021-10-15,200.8,201,188.02,188.12,963877
2021-10-18,188.8,191.5,186.1,189.06,334339
2021-10-19,189.1,197.52,189.1,197.48,303807
2021-10-20,197,197.58,193.5,193.6,209050
2021-10-21,183.42,184.46,175.76,181,1260413
2021-10-22,181,184.98,181,184.28,289500
2021-10-25,185.5,187.68,184.7,187.2,222791
2021-10-26,187.26,188.5,182,182,215290
2021-10-27,181.82,183.14,176.2,178.02,348705
2021-10-28,178.98,180.52,172.82,172.82,370009
2021-10-29,174.1,177.2,172.58,173.88,383668
2021-11-02,176.2,176.2,170.66,173.42,323189
2021-11-03,173.82,177.32,173,173.6,406803
2021-11-04,174.02,181.6,173.22,181.1,281405
2021-11-05,182,183.2,177.42,178.82,206708
2021-11-08,178.82,181.88,178.22,179,85696
2021-11-09,178.4,182.86,178.24,181.7,194948
2021-11-10,182.26,182.5,178.36,180.74,148479
2021-11-12,182.5,187.28,182.08,184.8,305790
2021-11-15,184.72,189.86,183.32,183.32,257870
2021-11-16,184,187.36,182.38,183,247348
2021-11-17,184.5,184.5,179.22,179.94,198916
2021-11-18,179.92,181.88,178,181.34,181267
2021-11-19,180,189.6,178.5,189,463903
2021-11-22,189,197.5,186.6,194.48,604454
2021-11-23,194,201,190.4,201,959888
2021-11-24,199.88,201,186.5,186.54,556521
2021-11-25,189,190.98,185.18,187.08,194865
2021-11-26,185,186.8,181.1,185.52,553810
2021-11-29,187,198.8,186.94,191.52,538882
2021-11-30,180,186.5,175.3,184.5,975100
2021-12-01,183.54,185.6,178.1,185,450969
2021-12-02,182.5,183.7,177.5,180,361135
2021-12-03,181.58,183.58,179.92,181.46,621878
2021-12-06,182.1,185.34,181.1,184,278651
2021-12-07,184.9,189.68,183.4,185.58,364939
2021-12-08,185.4,188.06,183.54,186.2,249958
2021-12-09,184,186.76,178.58,180.14,319071
2021-12-10,179.78,181.3,178.06,178.54,147386
2021-12-13,178.66,183.58,178.66,182.62,266656
2021-12-14,182.62,184.26,172.92,172.92,447537
2021-12-15,173.2,181.56,172.94,179,370788
2021-12-16,183.5,187.24,181,183.96,464350
2021-12-17,182.72,189.06,182.1,188.96,752662
2021-12-20,184.24,193.04,184.06,193.04,408734
2021-12-21,191,193,187.02,191.36,220562
2021-12-22,191.4,197.84,191,197.84,334359
2021-12-23,197.84,197.86,191.22,194.58,224342
2021-12-27,191.18,197.26,188.2,195.28,301036
2021-12-28,194,195.2,189.6,190.5,260010
2021-12-29,189.5,193.5,188.52,190.12,162686
2021-12-30,189.2,192.9,189.2,192.9,162817
2022-01-03,192.88,201.9,192.36,200.6,650787
2022-01-04,200.9,201.8,197.7,198.46,513845
2022-01-05,198,204,197.2,204,348892
2022-01-07,200.4,201.55,195.88,198.64,530654
2022-01-10,198.6,199.66,188.1,188.1,403340
2022-01-11,189.5,193.1,188.2,188.56,343540
2022-01-12,189.3,196.66,186,196,523991
2022-01-13,193,197.76,192,193.02,294449
2022-01-14,192.96,195.34,189.7,191,256701
2022-01-17,191.5,191.82,188.7,191,113825
2022-01-18,190,208.1,186.46,194,1468991
2022-01-19,192,192.38,187,187.74,541809
2022-01-20,189.3,192.36,187.48,190,394610
2022-01-21,189,191,184.16,186,377091
2022-01-24,185,187.5,176,178,492727
2022-01-25,178,180.88,172.4,172.82,515298
2022-01-26,173.5,177.2,172.02,173.12,316123
2022-01-27,171.96,175.72,168.56,175.4,269912
2022-01-28,175,176.9,166.1,166.22,474339
2022-01-31,169.2,180.06,166.5,180.06,524308
2022-02-01,181.28,185.9,177.82,180.94,888178
2022-02-02,182,186.6,180.94,185.84,372931
2022-02-03,183.24,185.84,182.46,185,112530
2022-02-04,183,187.34,177.88,177.88,360363
2022-02-07,178.02,181.32,176,179.56,407030
2022-02-08,179.26,180,173.4,178.46,495046
2022-02-09,179.8,183.6,177.94,183.6,363955
2022-02-10,183.8,184,178.16,181.48,197816
2022-02-11,180.76,180.76,176.8,178.02,242564
2022-02-14,173.68,180.78,172.9,178.8,466445
2022-02-15,180,187.36,179.42,180.86,622285
2022-02-16,187.5,188,180.2,181.8,334219
2022-02-17,182,183.8,178.6,180,346062
2022-02-18,180,182.32,174.8,174.8,274160
2022-02-21,176.56,177.2,168.38,169,322394
2022-02-22,166,171.1,159.2,171.1,403438
2022-02-23,175.74,179.9,169,169.4,418291
2022-02-24,160,164,150.2,159.86,763166
2022-02-25,164.32,167.48,160.22,164.4,427057
2022-02-28,161.42,170,159.04,168.4,653468
2022-03-01,170,171.96,166.92,168.3,597472
2022-03-02,167,175,165.98,172.52,581855
2022-03-03,171.5,172,163,163,434390
2022-03-04,163,165.88,159.56,161.28,312568
2022-03-07,158,163.48,155,162.88,578622
2022-03-08,162,164.88,156,157.96,437218
2022-03-09,160.4,164.5,160.16,162.06,351241
2022-03-10,162.72,164.38,158,158,298591
2022-03-11,160.34,165.28,158.52,163.52,343457
2022-03-14,163.64,166.7,160.52,162.7,300110
2022-03-15,163,169.4,161.74,166.92,356643
2022-03-16,169,172.36,166.06,170.3,518055
2022-03-17,171.5,173.9,168.8,173,388040
2022-03-18,173.78,174.38,168.2,170.12,509006
2022-03-21,168.56,172.8,168.2,171.32,183151
2022-03-22,186.94,187.14,171.68,174.18,1108734
2022-03-23,174.88,181.4,174.3,177.96,491886
2022-03-24,178,178.02,174,175.98,237858
2022-03-25,176.1,178.94,174,175.44,219224
2022-03-28,175.12,178.86,173.78,176.4,207048
